,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.6942857142857143,0.7114285714285714,0.6885714285714286,0.64,0.7085714285714285
Sim Entropy,0.6971428571428572,0.7142857142857143,0.6171428571428571,0.64,0.7057142857142857
Rep Entropy,0.7057142857142857,0.6942857142857143,0.6457142857142857,0.64,0.7085714285714285
Lap Score,0.7028571428571428,0.7142857142857143,0.6085714285714285,0.64,0.6828571428571428
SPECtrum,0.6771428571428572,0.72,0.6485714285714286,0.64,0.7228571428571429
Mutual Corre,0.7057142857142857,0.6942857142857143,0.6457142857142857,0.64,0.7085714285714285
MICI,0.6771428571428572,0.74,0.5114285714285715,0.64,0.7171428571428572
MDCM,0.5171428571428571,0.5657142857142857,0.5228571428571429,0.64,0.7085714285714285
Linear Depend,0.6657142857142857,0.6485714285714286,0.5285714285714286,0.64,0.6828571428571428
MPMR,0.7028571428571428,0.7228571428571429,0.6914285714285714,0.64,0.7228571428571429
MCFS,0.7085714285714285,0.7,0.6971428571428572,0.64,0.7228571428571429
RSPCA,0.7142857142857143,0.6885714285714286,0.6857142857142857,0.64,0.7285714285714285
